Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Album Cover URL
Panini,Panini,Lil Nas X,6/20/2019,USSM11903948,1003,47.9,741766886,96241,16599790,62,659070547,10294151,334492,59073681,493209730,229239236,68,46553,504,22,405827,18,132924483,229717,43940834,2409985,,0,https://i.scdn.co/image/ab67616d0000b2736239187793c9e492e687db01
HOTEL LOBBY (Unc & Phew),HOTEL LOBBY (Unc and Phew),Quavo,5/20/2022,USUG12202512,1002,47.9,399707517,131547,25873871,69,44839108,449678,1332,101238,1130861,2803361,66,36742,836,12,1000634,36,81514413,12561,,2145146,,1,https://i.scdn.co/image/ab67616d0000b273ffe5b62233340cb6d453fc2f
Lean Wit Me,Lean Wit Me,Juice WRLD,5/22/2018,USUG11800945,1001,47.9,880781313,137341,29154307,72,432457883,3689786,28508,3880481,33981823,5946423,21,835,113,10,71637,2,59762272,55696,120023575,934193,,1,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4
LEATHER,LEATHER,MAKAELA,1/27/2023,QZJG52355895,1000,47.9,1696,,,,604258394,1611760,,,,,,6,,,,,,,,,,1,https://i.scdn.co/image/ab67616d0000b2735b44a23fc3f81b99d646013c
Tomorrow 2 (with Cardi B),Tomorrow 2 (with Cardi B),GloRilla,9/23/2022,USUM72217666,996,48.1,157806193,27840,14490602,64,216925153,1357039,264839,77376260,507673872,175345907,41,221878,172,6,22426,60,54650583,33003,,1089768,,1,https://i.scdn.co/image/ab67616d0000b27377b82f970494b304d4957318
PICK UP THE PHONE (feat. Nate Dogg),PICK UP THE PHONE (feat. Nate Dogg),PAWSA,5/31/2024,GBCEN2400112,995,48.1,2284977,1425,11819359,22,186215,4951,,,,,13,243,,16,206878,24,,,1035215,44984,,1,https://i.scdn.co/image/ab67616d0000b2734003cdfe6d95955403b98264
El Caballito,El Caballito - Single,FARIANA,06-07-2024,QM6N22408548,994,48.2,184278,74,5010610,42,,,63000,14587439,205181975,,4,8,,,,12,387,,,2840,,1,https://i.scdn.co/image/ab67616d0000b273c60502053d972cff77c952aa
Go Down Deh (feat. Shaggy and Sean Paul),Go Down Deh (feat. Shaggy and Sean Paul),Spice,4/30/2021,USVPR2100046,993,48.2,218431985,56998,7122424,61,336505073,3901948,3595260,338445934,4731467896,11491467,24,20192,98,10,193061,14,12362903,6285,2388111,6024636,,0,https://i.scdn.co/image/ab67616d0000b273bb0905b3bc00791904625029
Miles On It,Miles on It,Marshmello,05-03-2024,QZZVQ2400059,992,48.2,41924126,3794,124369916,79,4219901,103922,,,,237146592,87,4032,33,51,8224597,91,9227545,2729,239024,189286,,0,https://i.scdn.co/image/ab67616d0000b27300ac867eff7ed64be10a517c
TOO MUCH,TOO MUCH,The Kid LAROI,10/19/2023,USSM12307154,990,48.3,137894955,20037,20683852,,45533851,1730466,4402,2179277,13108162,1665204683,37,99290,31,37,404042,39,2640092,369,1157460,601987,,1,https://i.scdn.co/image/ab67616d0000b27343275240f8d72faac186400f
